Time [s],Power [W]
1.5951924324035645,7.3
1.6775481700897217,7.3
1.7507879734039307,7.3
1.8271403312683105,7.3
1.9142301082611084,7.3
2.0083024501800537,7.3
2.107807159423828,7.3
2.292717695236206,7.3
2.3782875537872314,7.3
2.487550735473633,7.4
2.6241002082824707,7.4
2.7551445960998535,7.4
2.86704683303833,7.4
2.9696309566497803,7.4
3.2896225452423096,7.4
3.381056785583496,7.4
3.469858169555664,7.4
3.5627682209014893,7.4
3.663867473602295,7.4
3.7621333599090576,7.4
3.897566318511963,7.3
4.0071189403533936,7.3
4.141358375549316,7.3
4.273319959640503,7.3
4.361609935760498,7.3
4.4979376792907715,7.3
4.595766544342041,7.3
4.74180269241333,7.3
4.857168197631836,7.3
4.980096101760864,7.3
5.064285516738892,7.3
5.140933513641357,7.3
5.221112251281738,7.3
5.300499677658081,7.3
5.388551712036133,7.3
5.469773292541504,7.3
5.546826362609863,7.3
5.627322435379028,7.3
5.703714370727539,7.3
5.783603191375732,7.3
6.044655084609985,7.3
6.12726092338562,7.3
6.205402612686157,7.3
6.281224727630615,7.3
6.355865240097046,7.3
6.429431915283203,7.3
6.6958348751068115,8.6
6.77591609954834,8.6
6.856018781661987,8.6
7.105613708496094,8.6
7.192874431610107,8.6
7.417311429977417,8.6
7.498715877532959,8.6
7.577258110046387,8.6
7.715043783187866,8.6
8.075871467590332,8.6
8.308727741241455,8.2
8.38524341583252,8.2
8.470208883285522,8.2
8.54217791557312,8.2
8.623621225357056,8.2
8.697572708129883,8.2
8.778029441833496,8.2
8.85455322265625,8.2
8.931513786315918,8.2
9.02030086517334,8.2
9.102251052856445,8.2
9.177645921707153,8.2
9.255696058273315,8.2
9.336421966552734,8.2
9.412657976150513,8.2
9.48811674118042,8.2
9.56944227218628,8.2
9.748530864715576,8.1
9.838112592697144,8.1
9.913859367370605,8.1
10.123332500457764,8.1
10.271198511123657,8.1
10.350352048873901,8.1
10.424010276794434,8.1
10.540596723556519,8.1
10.631230592727661,8.1
10.720502138137817,8.1
10.872164487838745,8.1
11.042039632797241,8.1
11.12099552154541,8.1
11.206692457199097,8.8
11.297141313552856,8.2
11.369666576385498,8.2
11.667349815368652,8.2
11.861120223999023,8.2
11.95149827003479,8.2
12.044591426849365,8.2
12.120998859405518,8.2
12.192865371704102,8.2
12.273104667663574,8.2
12.375586748123169,8.2
12.462346315383911,8.2
12.550185441970825,8.2
12.641327142715454,8.2
12.72519588470459,8.2
12.806884288787842,8.6
12.901647806167603,8.6
13.001641511917114,8.6
13.08942461013794,8.6
13.212981700897217,8.6
13.325687170028687,8.6
13.514737606048584,8.6
13.684462785720825,8.6
13.765673875808716,8.6
13.856234073638916,8.6
14.070400476455688,8.6
14.171572208404541,8.6
14.309820175170898,8.6
14.41970157623291,9.2
14.84863543510437,9.2
14.955169916152954,9.2
15.049211740493774,9.2
15.179990768432617,9.2
15.35497760772705,9.2
15.458329439163208,9.2
15.556333303451538,9.2
15.65891718864441,9.2
15.771157503128052,9.2
15.867330551147461,9.2
15.969063997268677,8.4
16.084444761276245,8.4
16.246485948562622,8.4
16.329041481018066,8.4
16.42334771156311,8.4
16.528953790664673,8.4
16.6446270942688,8.4
16.72606611251831,8.4
16.854692459106445,8.4
16.946289777755737,8.4
17.0352942943573,8.4
17.316083431243896,8.5
17.421435356140137,8.5
17.51822805404663,8.5
17.613531589508057,8.5
17.731093645095825,8.5
17.954144716262817,8.5
18.038994073867798,8.5
18.151543378829956,8.5
18.27517819404602,8.5
18.39233422279358,8.5
18.546109437942505,8.5
18.678831577301025,8.5
18.79619836807251,8.4
18.90865468978882,8.4
19.026393175125122,8.4
19.142329216003418,8.4
19.22873544692993,8.4
19.445075035095215,8.4
19.51853036880493,8.4
19.5980064868927,8.4
19.675378561019897,8.4
19.75445318222046,8.4
19.82741665840149,8.4
19.910690307617188,8.4
19.99174952507019,8.4
20.49424409866333,8.7
20.580729722976685,8.7
20.65870475769043,8.7
20.738698959350586,8.7
20.811846494674683,8.7
20.894967317581177,8.7
20.96851134300232,8.7
21.046059131622314,8.7
21.126723289489746,8.7
21.21356225013733,8.7
21.317604541778564,8.7
21.45915722846985,8.7
21.575218200683594,8.7
21.673033475875854,8.7
22.3978910446167,8.5
22.499499320983887,8.5
22.62194323539734,8.5
22.72327709197998,8.5
22.829094886779785,8.5
22.99819302558899,8.5
23.2514226436615,8.2
23.34196949005127,8.2
23.414891958236694,8.2
23.494560480117798,8.2
23.573398113250732,8.2
23.650981426239014,8.2
23.72764825820923,8.2
23.815234184265137,8.2
23.90277361869812,8.2
23.98054528236389,8.2
24.07052254676819,8.2
24.143460035324097,8.2
24.24432396888733,8.2
24.3381929397583,8.2
24.427377939224243,8.2
24.500933170318604,8.2
24.580591201782227,8.2
24.661668062210083,8.2
24.839540004730225,8.4
24.922221899032593,8.4
24.998398065567017,8.4
25.282559156417847,8.4
25.427525758743286,8.4
25.53378963470459,8.4
25.622491121292114,8.4
25.88625955581665,8.4
26.0400869846344,8.4
26.1336886882782,8.4
26.238707065582275,8.4
26.353551149368286,8.4
26.459125518798828,8.4
26.592386960983276,8.4
26.697453498840332,8.4
26.818389892578125,8.4
26.951139450073242,8.4
27.041388750076294,8.4
27.16650891304016,8.4
27.24420475959778,8.4
27.32118797302246,8.4
27.401936531066895,8.4
27.658592224121094,8.4
27.748868465423584,8.4
27.838819980621338,8.4
27.915379762649536,8.4
27.990578174591064,8.4
28.077025890350342,8.4
28.436795234680176,8.4
28.52478575706482,8.4
28.64423942565918,8.4
28.897541522979736,8.4
28.990313053131104,8.4
29.11843776702881,8.4
29.218656539916992,8.4
29.40284013748169,9.2
29.492403745651245,9.2
29.57137179374695,9.2
29.65943217277527,9.2
29.746490240097046,9.2
29.840365171432495,9.2
30.057241439819336,9.2
30.192699909210205,9.2
30.280501127243042,9.2
30.463517427444458,9.2
30.545861959457397,9.2
30.630895853042603,9.2
30.726317882537842,8.5
30.81399369239807,8.5
30.8889102935791,8.5
30.96509027481079,8.5
31.26390790939331,8.5
31.48310351371765,8.5
31.585795164108276,8.5
31.675934076309204,8.5
31.765096187591553,8.5
32.02023148536682,8.5
32.12477087974548,8.5
32.224780321121216,8.4
32.33179473876953,8.4
32.45871424674988,8.4
32.54749059677124,8.4
32.814308643341064,8.4
32.90751934051514,8.4
32.99877905845642,8.4
33.10259246826172,8.4
33.26184415817261,8.4
33.46168661117554,8.4
33.80316996574402,8.5
33.88316249847412,8.5
33.97874641418457,8.5
34.0669105052948,8.5
34.14192485809326,8.5
34.21977376937866,8.5
34.30321216583252,8.5
34.37853217124939,8.5
34.465442419052124,8.5
34.55445909500122,8.5
34.69104981422424,8.5
34.769967794418335,8.5
34.85440993309021,8.5
34.944612979888916,8.5
35.03272271156311,8.5
35.13099718093872,8.5
35.217652559280396,8.4
35.315255880355835,8.4
35.407389640808105,8.4
35.48643159866333,8.4
35.5610785484314,8.4
35.6439311504364,8.4
35.73712158203125,8.4
35.82672095298767,8.4
35.90433049201965,8.4
35.98697876930237,8.4
36.08149766921997,8.4
36.17857360839844,8.4
36.2737512588501,8.4
36.38257718086243,8.4
36.497288942337036,8.4
36.59207320213318,8.4
36.70559859275818,8.4
36.824626445770264,8.5
36.92019081115723,8.5
37.03458023071289,8.5
37.14228057861328,8.5
